文本,回忆,回忆次数,覆盖率,准确率,遗漏,错字,总字数
"要从眼前《人生》所造成的暖融融的气氛中，再一次踏进冰天雪地去进行一次看不见前途的远征，耳边就不时响起退堂的鼓声。", "要从眼前《人生》所造成的暖融融的气氛中，再一次踏进冰天雪地去进行一次看不见前 退堂的鼓声", 1, 0.784, 1.0, "途 远 征 耳 边 就 时 响 起", "", 51
"要从眼前《人生》所造成的暖融融的气氛中，再一次踏进冰天雪地去进行一次看不见前途的远征，耳边就不时响起退堂的鼓声。", "要从目前暖融融的人生所造成的气氛中 再一次踏进冰天雪地去进行一场看不见前途的远征 耳边就是不是传来退堂的鼓声", 2, 0.902, 0.885, "眼 时 响 起", "目 场 是 是 传 来", 51
"要从眼前《人生》所造成的暖融融的气氛中，再一次踏进冰天雪地去进行一次看不见前途的远征，耳边就不时响起退堂的鼓声。", "要从眼前人生所造成的的暖融融的气氛中 再一次踏进冰天雪地进行一场看不见前途的远征 而且就不时响起退堂的鼓声", 3, 0.941, 0.941, "去 耳 边", "场 而 且", 51
"由此，这劳动就是平凡的劳动，而不应该有什么了不起的感觉；由此，你写平凡的世界，你也就是这平凡的世界中的一员，而不是高人一等；由此，一九八八年五月二十五日就是一个平平常常的日子，而不是一个特殊的日子；由", "由此你写平凡的劳动 就是平凡的劳动 没有什么特殊的感觉; 由此你写平凡的劳动 那你就是平凡而不是高人一等  由此一九八八年五年二十五日 就是平凡的一天 没有什么特别之处", 1, 0.756, 0.907, "这 应 该 了 起 世 界 也 这 世 界 中 员 月 个 常 常 子 个 子", "没 那 天 没 别 之 处", 90
"由此，这劳动就是平凡的劳动，而不应该有什么了不起的感觉；由此，你写平凡的世界，你也就是这平凡的世界中的一员，而不是高人一等；由此，一九八八年五月二十五日就是一个平平常常的日子，而不是一个特殊的日子；由", "由此 你写平凡的劳动  就是平凡的劳动 没有什么了不起的感觉;  由此 你写平凡的世界 那就是平凡的 不应该高人一等  由此一九八八年五月二十五日 就是平凡的一天 没有什么特别之处", 2, 0.767, 0.908, "这 而 也 这 中 员 而 个 常 常 子 而 个 殊 子", "没 那 天 没 别 之 处", 90
"由此，这劳动就是平凡的劳动，而不应该有什么了不起的感觉；由此，你写平凡的世界，你也就是这平凡的世界中的一员，而不是高人一等；由此，一九八八年五月二十五日就是一个平平常常的日子，而不是一个特殊的日子；由", "由此这劳动就是平凡的劳动 没有什么了不起的感觉 由此你写平凡的世界  你也是平凡的世界中的一员  而不应该高人一等  由此 一九八八年五月二十五日 就是平平常常的日子 而不是特殊的感觉", 3, 0.889, 0.988, "个 个", "没", 90
"由此，这劳动就是平凡的劳动，而不应该有什么了不起的感觉；由此，你写平凡的世界，你也就是这平凡的世界中的一员，而不是高人一等；由此，一九八八年五月二十五日就是一个平平常常的日子，而不是一个特殊的日子；由", "由此  这劳动就是平常的劳动  而不应该有什么了不起的感觉;  由此你写平凡的世界 那你也是平凡世界中的一员  而不应该有高人一等的感觉; 由此 一九八八年五月二十五日 就是一个平平常常的日子  而不是什么特殊的日子 由", 4, 1.022, 0.989, "", "那", 90
"春夏秋冬，时序变换，积累在增加，手中的一个箱子变成了两个箱子。", "春夏秋冬 时序变化 积累在增加 手中的一个箱子变成了两个箱子", 1, 0.963, 0.963, "换", "化", 27
"在这样一种机关，最有趣的现象之一是：孩子们最忙，晚睡早起，勤于功课；其次是太太们忙，早出晚归，忙于上班；最不忙的就是文人先生，可以一杯清茶从早喝到晚。", "在这样一种机关 最有趣的现象之一是 孩子最忙 晚睡早起 勤于功课 其次是太太们最忙 早出晚归 忙于上班 最空闲的是文人先生们可以一杯清茶从早喝到晚", 1, 0.969, 0.969, "不 就", "空 闲", 65
"艺术家的感受中可能包含哲学家的判定，但哲学家的判定未见得能包艺术家的感受。", "艺术家的感受中可能会包含哲学家的判定 但哲学家的判定中未见能包含艺术家的感受吧", 1, 1.029, 0.947, "得", "会 吧", 35
